 serial number,character,token,ferquency(pre million),
1,的,76938354,40529.65053 ,
2,一,35278860,18584.22740 ,
3,了,34812434,18338.52313 ,
4,是,31422712,16552.88253 ,
5,不,29858097,15728.67333 ,
6,我,29569261,15576.52006 ,
7,在,19195987,10112.07810 ,
8,人,18435295,9711.36013 ,
9,有,17847013,9401.46445 ,
10,这,17648808,9297.05385 ,
11,他,17596473,9269.48478 ,
12,来,14837007,7815.85097 ,
13,个,14789406,7790.77567 ,
14,你,14221925,7491.83756 ,
15,说,12000460,6321.61236 ,
16,上,11918291,6278.32731 ,
17,到,11505436,6060.84321 ,
18,就,11305679,5955.61505 ,
19,着,11165468,5881.75458 ,
20,大,10828984,5704.50126 ,
21,们,10741873,5658.61285 ,
22,道,10625536,5597.32875 ,
23,那,9929703,5230.77726 ,
24,么,9727134,5124.06779 ,
25,也,9508702,5009.00200 ,
26,地,8804040,4637.79956 ,
27,子,8641973,4552.42577 ,
28,下,8550882,4504.44078 ,
29,出,8294943,4369.61702 ,
30,时,8207119,4323.35302 ,
31,看,8030267,4230.19077 ,
32,要,7944606,4185.06620 ,
33,她,7870163,4145.85105 ,
34,中,7680869,4046.13460 ,
35,没,7560391,3982.66910 ,
36,然,7339938,3866.53868 ,
37,里,7329328,3860.94954 ,
38,为,7309300,3850.39917 ,
39,过,7307184,3849.28450 ,
40,自,7261699,3825.32388 ,
41,好,7259684,3824.26241 ,
42,得,7186260,3785.58406 ,
43,去,7182400,3783.55068 ,
44,可,7069176,3723.90645 ,
45,会,6824927,3595.24076 ,
46,天,6797499,3580.79221 ,
47,还,6776145,3569.54334 ,
48,心,6555833,3453.48720 ,
49,后,6544446,3447.48874 ,
50,以,6523162,3436.27674 ,
51,小,6383822,3362.87510 ,
52,都,6342930,3341.33398 ,
53,和,6252031,3293.45012 ,
54,对,6195038,3263.42730 ,
55,想,6140550,3234.72407 ,
56,能,5933639,3125.72732 ,
57,起,5819918,3065.82128 ,
58,之,5373763,2830.79537 ,
59,手,5076179,2674.03382 ,
